Unique,Coin,Date,Length,Sex,Maturity,Age ,,,,,,,,,
266,60,1/3/2024,333,F,R,20,,,,,,,,,
267,61,1/3/2024,334,F,S,15,,,,,,,,,
268,62,1/3/2024,329,M,,10,,,,,,,,,
269,63,1/3/2024,356,F,R,21,,,,,,,,,
270,64,1/3/2024,322,M,,13,,,,,,,,,
271,65,1/3/2024,327,M,,9,,,,,,,,,
272,66,1/3/2024,331,F,S,12,,,,,,,,,
273,67,1/3/2024,353,F,S,31,,,,,,,,,
274,68,1/3/2024,340,F,R,20,,,,,,,,,
275,69,1/3/2024,336,F,R,19,,,,,,,,,
276,70,1/3/2024,330,M,,12,,,,,,,,,
277,71,1/3/2024,321,M,,10,,,,,,,,,
278,72,1/3/2024,358,M,,20,,,,,,,,,
279,73,1/3/2024,389,F,S,32,,,,,,,,,
280,74,1/3/2024,352,M,,19,,,,,,,,,
281,75,1/3/2024,312,F,R,9,,,,,,,,,
282,76,1/3/2024,340,F,S,19,,,,,,,,,
283,77,1/3/2024,351,F,S,13,,,,,,,,,
284,78,1/3/2024,337,M,,10,,,,,,,,,
285,79,1/3/2024,319,M,,12,,,,,,,,,
286,80,1/3/2024,316,F,S,9,,,,,,,,,
287,81,1/3/2024,325,M,,10,,,,,,,,,
288,82,1/3/2024,343,M,,22,,,,,,,,,
289,83,1/3/2024,321,M,,10,,,,,,,,,
290,84,1/3/2024,352,F,R,22,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
